Job Title,				Date Applied,	Rejected,	Inscritos,	Date Rejected,	Website
Tester junior/Globe University,		01/07/2020,	True,		9,		01/07/2020,	www.infojobs.net
Mozo/a Almacén,				01/07/2020,	True,		374,		01/07/2020,	www.infojobs.net
English Teacher,			06/07/2020,	True,		64,		07/07/2020,	www.infojobs.net
Vendedor/a muebles,			06/07/2020,	False,		472,		,		www.infojobs.net
MOZO/A PAQUETERÍA AEROPUERTO,		06/07/2020,	False,		547,		,		www.infojobs.net
Mozo/a de Almacén,			24/07/2020,	False,		473,		,		www.infojobs.net
Camarera,				24/07/2020,	False,		671,		,		www.infojobs.net
DEPENDIENTE TIENDA MOVISTAR,		24/07/2020,	True,		397,		27/07/2020,	www.infojobs.net
Ayudante de dependienta/e,		24/07/2020,	True,		748,		28/07/2020,	www.infojobs.net
DEPENDIENTE/A RIP CURL CORTE INGLÉS,	27/07/2020,	True,		684,		29/07/2020,	www.infojobs.net
CONSULTOR DATA SCIENCE BILBAO,		28/07/2020,	False,		Null,		,		recruiting.managementsolutions.com
Beca estudiantes TIC,			28/07/2020,	True,		10,		03/08/2020,	www.infojobs.net
Programador/a Júnior,			06/08/2020,	True,		32,		07/08/2020,	www.infojobs.net
Sales Assistant El Corte Inglés,	24/07/2020,	False,		539,		,		www.infojobs.net
Camarera/o,				24/07/2020,	False,		446,		,		www.infojobs.net
MOZO DE ALMACÉN PREPARACIÓN DE PEDIDOS, 24/07/2020,	True,		267,		12/08/2020,	www.infojobs.net
Beca Ciencias Ambientales,		20/08/2020,	True,		306,		20/08/2020,	www.infojobs.net
CAJERO - CAJERA SUPERMERCADO,		24/07/2020,	True,		290,		20/08/2020,	www.infojobs.net
REPARTIDOR/A BURGER KING VITORIA,	24/07/2020,	True,		137,		24/08/2020,	www.infojobs.net
Data & Ops Analyst (Intern),		24/08/2020,	True,		126,		25/08/2020,	www.infojobs.net
Beca Ingeniero Software Matlab/Simulink,24/07/2020,	True,		17,		25/08/2020,	www.infojobs.net
Junior Data Engineer/Technical Support,	24/08/2020,	True,		10,		25/07/2020,	www.infojobs.net
Recepcionista- GETXO,			03/08/2020,	True,		328,		07/08/2020,	www.infojobs.net
Beca Graduados Ciencias,		24/08/2020,	True,		97,		28/08/2020,	www.infojobs.net
CONSULTOR DATA SCIENCE BILBAO,		10/08/2020,	False,		Null,		,		recruiting.managementsolutions.com
Beca inteligencia artificial,		20/08/2020,	True,		43,		24/08/2020,	www.infojobs.net
Beca ENDESA Recién graduados,		06/08/2020,	True,		71,		10/08/2020,	www.infojobs.net
Beca ENDESA Recién graduados,		11/08/2020,	True,		382,		17/08/2020,	www.infojobs.net
Analista SQL,				05/09/2020,	True,		62,		07/09/2020,	www.infojobs.net
BECA estudiantes TIC,			24/08/2020,	True,		9,		08/09/2020,	www.infojobs.net
Rocket Program Beca STEM,		10/08/2020,	True,		558,		14/08/2020,	www.infojobs.net
Becario de testeo aplicación Web,	30/08/2020,	True,		12,		03/09/2020,	www.infojobs.net
Analista Programador/a (Python y Spark),11/08/2020,	True,		8,		17/08/2020,	www.infojobs.net
Cajero/a Reponedor/a,			24/07/2020,	True,		938,		10/09/2020,	www.infojobs.net
IA Team Leader,				05/09/2020,	True,		30,		09/09/2020,	www.infojobs.net
MOZO/A PAQUETERÍA AEROPUERTO,		01/07/2020,	False,		791,		,		www.infojobs.net
Beca Ingeniero/a Software, 		10/09/2020,	True,		30,		11/09/2020,	www.infojobs.net
Consultant Data Analytics & Big Data,	05/09/2020,	True,		40,		09/09/2020,	www.infojobs.net
DR- Beca Graduados/Licenciados Ciencias,05/09/2020,	True,		163,		09/09/2020,	www.infojobs.net
Prácticas de programador con inglés,	20/08/2020,	True,		14,		24/08/2020,	www.infojobs.net
BECA SCHINDLER AHEAD,			24/08/2020,	True,		57,		28/08/2020,	www.infojobs.net
Beca Data Big Data,			24/08/2020,	True,		306,		28/08/2020,	www.infojobs.net
Consultor I+D,				24/08/2020,	True,		188,		28/08/2020,	www.infojobs.net
Datos en misiones espaciales,		11/08/2020,	True,		271,		24/09/2020,	www.infojobs.net
SOFTWARE DEVELOPER,			30/08/2020,	True,		26,		03/09/2020,	www.infojobs.net
Consultant Data Analytics,		05/09/2020,	True,		125,		09/09/2020,	www.infojobs.net
Beca ENDESA: RPA & IA,			11/09/2020,	True,		6,		15/09/2020,	www.infojobs.net
Beca Matemáticas y Física,		05/09/2020,	True,		84,		09/09/2020,	www.infojobs.net
Data Analyst - Machine Learning, 	08/08/2020,	False,		227,		,		www.tecnoempleo.com
Programador Python, 			24/08/2020,	False,		456,		,		www.tecnoempleo.com
VENDEDOR DEPORTISTA DECATHLON, 		10/06/2020,	True,		Null,		29/09/2020,	www.decathlon.talentclue.com
Deutsche Bank Analyst Graduate,		19/09/2020,	True,		Null,		28/09/2020,	www.gradcracker.com
Graduate Big Data Software Developer,	27/09/2020,	True,		Null,		29/09/2020,	www.gradcracker.com
Capital One Strategy Analyst,		01/10/2020,	True,		Null,		05/10/2020,	www.gradcracker.com
